"","GeoCode","Boro_Location","GeoCodeLabel","PassengKilled","InJury_type","NofCases"
"250",90,"Brooklyn 90th Precinct","90th Precinct",0,"MotoristsInjured",32
"251",25,"Manhattan 25th Precinct","25th Precinct",0,"PassengInjured",32
"252",112,"Queens 112th Precinct","112th Precinct",0,"PassengInjured",32
"253",40,"Bronx 40th Precinct","40th Precinct",0,"PassengInjured",31
"254",45,"Bronx 45th Precinct","45th Precinct",1,"PassengInjured",31
"255",46,"Bronx 46th Precinct","46th Precinct",0,"PassengInjured",31
"256",83,"Brooklyn 83rd Precinct","83rd Precinct",0,"PassengInjured",31
"257",43,"Bronx 43rd Precinct","43rd Precinct",0,"MotoristsInjured",29
"258",73,"Brooklyn 73rd Precinct","73rd Precinct",0,"MotoristsInjured",29
"259",43,"Bronx 43rd Precinct","43rd Precinct",0,"PassengInjured",29
"260",72,"Brooklyn 72nd Precinct","72nd Precinct",0,"PassengInjured",29
"261",107,"Queens 107th Precinct","107th Precinct",0,"PassengInjured",29
"262",14,"Manhattan Midtown South Precinct","Midtown South Precinct",0,"Injury_or_Fatal_Collisions",28
"263",50,"Bronx 50th Precinct","50th Precinct",0,"Injury_or_Fatal_Collisions",28
"264",48,"Bronx 48th Precinct","48th Precinct",0,"MotoristsInjured",28
"265",62,"Brooklyn 62nd Precinct","62nd Precinct",0,"MotoristsInjured",28
"266",70,"Brooklyn 70th Precinct","70th Precinct",0,"MotoristsInjured",28
"267",78,"Brooklyn 78th Precinct","78th Precinct",0,"Injury_or_Fatal_Collisions",27
"268",81,"Brooklyn 81st Precinct","81st Precinct",0,"Injury_or_Fatal_Collisions",27
"269",17,"Manhattan 17th Precinct","17th Precinct",0,"MotoristsInjured",27
"270",112,"Queens 112th Precinct","112th Precinct",0,"MotoristsInjured",27
"271",120,"S.Island 120th Precinct","120th Precinct",0,"MotoristsInjured",27
"272",46,"Bronx 46th Precinct","46th Precinct",0,"MotoristsInjured",26
"273",88,"Brooklyn 88th Precinct","88th Precinct",0,"MotoristsInjured",26
"274",49,"Bronx 49th Precinct","49th Precinct",1,"PassengInjured",26
"275",75,"Brooklyn 75th Precinct","75th Precinct",0,"PedestrInjured",26
"276",42,"Bronx 42nd Precinct","42nd Precinct",0,"Injury_or_Fatal_Collisions",25
"277",63,"Brooklyn 63rd Precinct","63rd Precinct",0,"MotoristsInjured",25
"278",17,"Manhattan 17th Precinct","17th Precinct",0,"PassengInjured",25
"279",71,"Brooklyn 71st Precinct","71st Precinct",0,"PassengInjured",25
"280",122,"S.Island 122nd Precinct","122nd Precinct",0,"PassengInjured",25
"281",32,"Manhattan 32nd Precinct","32nd Precinct",0,"Injury_or_Fatal_Collisions",24
"282",1,"Manhattan 1st Precinct","1st Precinct",0,"MotoristsInjured",24
"283",25,"Manhattan 25th Precinct","25th Precinct",0,"MotoristsInjured",24
"284",79,"Brooklyn 79th Precinct","79th Precinct",0,"MotoristsInjured",24
"285",70,"Brooklyn 70th Precinct","70th Precinct",0,"PassengInjured",24
"286",121,"S.Island 121st Precinct","121st Precinct",0,"PassengInjured",24
"287",52,"Bronx 52nd Precinct","52nd Precinct",0,"PassengInjured",23
