"","Doctor.Who.season","doctor.actor","ep..no","from","estimated.from","location","V1","????","Dundra System to Earth","earth","Earth","Earth and other planets","Earth/ Atlantis","Gallifrey, Earth","Indian Ocean, Planet Inter Minor","Planet: Oseidon; also village of Devesham","space"
"84","11","Smith","13","1996",NA,"Aickman Road, Colchester",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"85","11","Smith","1","1999",NA,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"86","8","McGann","-","1999",1987,"San Francisco",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA
"87","2","Troughton","46","2000",NA,"Just outside London",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"88","","Eccleston","164","2005",NA,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"89","9","Eccleston","163","2005",NA,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"90","9","Eccleston","165","2005",NA,"Cardiff",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"91","9","Eccleston","158","2005",NA,"Earth orbit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"92","10","Tennant","202","2006",NA,"Torchwood house, Near Balmoral",NA,NA,NA,NA,"Scotland",NA,NA,NA,NA,NA,NA
"93","9","Eccleston","160","2006",1869,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"94","10","Tennant","xmas 2006","2007",NA,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"95","10","Tennant","310","2007",NA,"Hull",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"96","","Tennant","","2007",NA,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"97","10","Tennant","203","2007",1879,"Deffry Vale",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"98","10","Tennant","205","2007",1764,"London (Parallel)",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"99","10","Tennant","411","2007",2700,"London",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"100","10","Tennant","302","2008",NA,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"101","10","Tennant","xmas 2008","2008",NA,"London",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"102","10","Tennant","306","2008",1930,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"103","11","Smith","1","2008",NA,"Leadworth",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"104","10","Tennant","311","2008",NA,"Cardiff and Malcassairo",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"105","10","Tennant","402","2009",NA,"Pompeii",NA,NA,NA,NA,"Roman Empire",NA,NA,NA,NA,NA,NA
"106","10","Tennant","313","2009",NA,"Alternative England and London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"107","10","Tennant","405","2009",4126,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"108","10","Tennant","Special","2009",1851,"San Helios, London",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"109","10","Tennant","Special","2009",NA,"London",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"110","11","Smith","6","2010",NA,"Leadworth to Venice",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"111","11","Smith","13","2010",NA,"National Museum, London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"112","11","Smith","13","2010",NA,"The Byzantium ","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","11","Smith","1","2011",NA,"London to Utah",NA,NA,NA,NA,"England and USA",NA,NA,NA,NA,NA,NA
"114","11","Smith","12","2011",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"115","9","Eccleston","161","2012",2006,"Utah",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA
"116","10","Tennant","209","2012",NA,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"117","11","Smith","7","2015",NA,"Leadworth",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"118","11","Smith","8","2020",2010,"Cwmtaff, Wales",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"119","5","Davison","130","2084",1982,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
